id,Affinity (kcal/mol)
CHEMBL19332,105.4
CHEMBL209453,129.3
CHEMBL64744,135.4
CHEMBL61203,148.7
CHEMBL18927,191.8
CHEMBL64213,410.2
CHEMBL16326,99.4
